Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
SAF,N,AP20183,WHINC,5,F,0,1,80,15,07,15,11,02,2008,ASGOR,MCS,0,O,0,0,,
SAF,N,AP20274,WHINC,3,F,0,2,80,16,07,00,19,10,2008,ACESB,MCS,0,O,0,0,1,
SAF,N,AP20275,WHINC,3,M,0,1,79,14,07,00,19,10,2008,ACESB,MCS,0,O,0,0,1,
SAF,N,AP20298,WHINC,3,,0,1,80,13.8,07,00,22,10,2008,ACESB,MCS,0,O,0,0,1,
SAF,N,AP20305,WHINC,3,M,0,1,76,14.6,09,00,22,10,2008,ACESB,MCS,0,O,0,0,1,
SAF,N,AP20311,WHINC,3,M,0,2,74,12.4,07,45,23,10,2008,ACESB,MCS,0,O,0,0,1,
SAF,N,AP20335,WHINC,3,,0,1,79,14.3,07,00,25,10,2008,ACESB,MCS,0,O,0,0,1,
SAF,N,AP20426,WHINC,6,M,0,2,79,15.5,07,00,19,03,2009,ACESB,MCS,0,O,3,1,1,
SAF,N,AP20582,WHINC,6,M,0,2,75,13.7,07,15,18,04,2008,ACESB,MCS,0,O,0,0,,
SAF,N,AP20584,WHINC,5,F,0,2,76,15.4,07,30,18,04,2008,ACESB,MCS,0,O,0,0,,
SAF,N,AP20587,WHINC,5,F,2,2,76,16,07,30,18,04,2008,ACESB,MCS,0,O,0,0,,
SAF,N,AP20588,WHINC,6,F,6,2,77,17.1,07,30,18,04,2008,ACESB,MCS,0,O,0,0,,
SAF,N,AP20595,WHINC,5,F,7,2,76,17.6,12,45,18,04,2008,ACESB,MCS,0,O,0,0,,
SAF,N,AP20701,WHINC,5,F,2,2,76,16.6,11,00,19,04,2008,ACESB,MCS,0,O,0,0,,
SAF,N,AP20739,WHINC,5,M,7,2,76,21.5,08,00,24,04,2008,ACESB,MCS,0,T,0,0,,
SAF,N,AP20788,WHINC,4,F,0,1,80,14.9,07,30,15,10,2008,ACESB,MCS,0,O,,,,
SAF,N,AP63001,WHINC,3,F,0,1,77,14.2,06,45,03,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63027,WHINC,3,F,0,1,77,14.6,08,30,03,11,2009,ACESB,DTC,0,,0,0,,
SAF,N,AP63029,WHINC,2,,10,10,74,14.2,09,00,03,11,2009,ACESB,DTC,,,,,,
SAF,N,AP63032,WHINC,3,M,1,1,81,15,06,45,05,11,2009,ACESB,DTC,0,,,,,
SAF,N,AP63033,WHINC,4,F,10,10,77,13.7,09,00,03,11,2009,ACESB,DTC,,,,,,
SAF,N,AP63034,WHINC,4,M,10,10,77,14.1,09,30,03,11,2009,ACESB,DTC,,,,,,
SAF,N,AP63039,WHINC,3,F,0,1,78,14.4,09,30,03,11,2009,ACESB,DTC,0,,0,0,,
SAF,N,AP63084,WHINC,4,M,0,2,80,13.9,08,15,04,11,2009,ACESB,DTC,0,O,,,,
